text,joy,sadness,anger,fear,surprise,neutral
"In the morning, I am going to the store.",0,0,0,0,0,1
"To be honest, It is what it is.",0,0,0,0,0,1
"Surprisingly, I'm so sorry to hear that.",0,1,0,0,0,0
"Surprisingly, the package arrived this morning.",0,0,0,0,0,1
"In the morning, unbelievable, just unbelievable.",0,0,0,0,1,0
"To be honest, this is the best news ever.",1,0,0,0,0,0
"In the morning, I miss them so much.",0,1,0,0,0,0
"Lately, I never saw that coming.",0,0,0,0,1,0
"Usually, feeling quite blue and isolated.",0,1,0,0,0,0
"Actually, feeling very grateful and happy.",1,0,0,0,0,0
"Today, observations were recorded accurately.",0,0,0,0,0,1
"To be honest, stop bothering me right now.",0,0,1,0,0,0
"Surprisingly, I can't believe they did that to me.",0,0,1,0,0,0
"Today, that loud noise startled me.",0,0,0,1,0,0
"Usually, I'm seething with rage.",0,0,1,0,0,0
"Finally, what a delightful surprise!",1,0,0,0,0,0
"Lately, wow! that's incredible.",0,0,0,0,1,0
"Usually, pure bliss and happiness.",1,0,0,0,0,0
"Today, the temperature remains constant.",0,0,0,0,0,1
"Surprisingly, I never saw that coming.",0,0,0,0,1,0
"To be honest, I'm over the moon with joy.",1,0,0,0,0,0
"To be honest, I can't believe they did that to me.",0,0,1,0,0,0
"Usually, such a heartwarming moment.",1,0,0,0,0,0
"Today, I feel so vulnerable and scared.",0,0,0,1,0,0
"Today, deeply saddened by the news.",0,1,0,0,0,0
"Usually, trying to keep my head up, but it's hard.",0,1,0,0,0,0
"Surprisingly, the sun rises in the east.",0,0,0,0,0,1
"Actually, who would have thought?",0,0,0,0,1,0
"To be honest, this is a major revelation.",0,0,0,0,1,0
"Lately, feeling quite blue and isolated.",0,1,0,0,0,0
"To be honest, just leave me alone, i'm angry.",0,0,1,0,0,0
"In the morning, the report is due on monday.",0,0,0,0,0,1
"In the morning, It's just one of those days where everything hurts.",0,1,0,0,0,0
"Usually, utterly outraged by the lack of respect.",0,0,1,0,0,0
"Today, what a beautiful day to be alive.",1,0,0,0,0,0
"Finally, trying to keep my head up, but it's hard.",0,1,0,0,0,0
"Finally, the darkness is frightening.",0,0,0,1,0,0
"Actually, everything feels so grey and hopeless.",0,1,0,0,0,0
"Usually, heartbroken and lost.",0,1,0,0,0,0
"Lately, the temperature remains constant.",0,0,0,0,0,1
"Today, unbelievable, just unbelievable.",0,0,0,0,1,0
"Finally, I'm so sorry to hear that.",0,1,0,0,0,0
"In the morning, feeling very grateful and happy.",1,0,0,0,0,0
"Actually, I feel absolutely wonderful.",1,0,0,0,0,0
"Surprisingly, observations were recorded accurately.",0,0,0,0,0,1
"Finally, the uncertainty is paralyzing.",0,0,0,1,0,0
"In the morning, Is this for real? I'm shocked!",0,0,0,0,1,0
"Surprisingly, the package arrived this morning.",0,0,0,0,0,1
"Usually, the sun rises in the east.",0,0,0,0,0,1
"Surprisingly, the report is due on monday.",0,0,0,0,0,1
"Actually, utterly outraged by the lack of respect.",0,0,1,0,0,0
"Usually, I'm really scared about the future.",0,0,0,1,0,0
"Actually, I'm pleasantly surprised!",0,0,0,0,1,0
"Surprisingly, simply amazing and unexpected.",0,0,0,0,1,0
"To be honest, It is what it is.",0,0,0,0,0,1
"Actually, deeply saddened by the news.",0,1,0,0,0,0
"In the morning, I'm pleasantly surprised!",0,0,0,0,1,0
"Finally, completely blindsided by this.",0,0,0,0,1,0
"Today, this is the best news ever.",1,0,0,0,0,0
"In the morning, I am absolutely furious with the service.",0,0,1,0,0,0
"Surprisingly, loneliness is a silent companion.",0,1,0,0,0,0
"Finally, what a delightful surprise!",1,0,0,0,0,0
"Actually, feeling very grateful and happy.",1,0,0,0,0,0
"Finally, trying to keep my head up, but it's hard.",0,1,0,0,0,0
"Usually, I'm speechless, what a surprise.",0,0,0,0,1,0
"Lately, that's a twist i didn't foresee.",0,0,0,0,1,0
"To be honest, loneliness is a silent companion.",0,1,0,0,0,0
"Lately, It is what it is.",0,0,0,0,0,1
"Today, Instructions are followed step by step.",0,0,0,0,0,1
"Finally, the darkness is frightening.",0,0,0,1,0,0
"To be honest, what a beautiful day to be alive.",1,0,0,0,0,0
"In the morning, success at last, i'm thrilled!",1,0,0,0,0,0
"To be honest, what a turn of events!",0,0,0,0,1,0
"In the morning, I never saw that coming.",0,0,0,0,1,0
"In the morning, what a delightful surprise!",1,0,0,0,0,0
"In the morning, It's a very lonely day.",0,1,0,0,0,0
"To be honest, I can't believe they did that to me.",0,0,1,0,0,0
"Finally, how dare they treat people this way?",0,0,1,0,0,0
"Actually, I miss them so much.",0,1,0,0,0,0
"Finally, the sun rises in the east.",0,0,0,0,0,1
"Finally, a sense of melancholy surrounds me.",0,1,0,0,0,0
"Surprisingly, my heart is racing, i'm terrified.",0,0,0,1,0,0
"Lately, I'm over the moon with joy.",1,0,0,0,0,0
"Lately, utterly outraged by the lack of respect.",0,0,1,0,0,0
"In the morning, I'm worried sick.",0,0,0,1,0,0
"Surprisingly, Instructions are followed step by step.",0,0,0,0,0,1
"Today, such a heartwarming moment.",1,0,0,0,0,0
"To be honest, what a beautiful day to be alive.",1,0,0,0,0,0
"Finally, I miss them so much.",0,1,0,0,0,0
"Actually, a heavy heart today.",0,1,0,0,0,0
"To be honest, don't push me any further.",0,0,1,0,0,0
"Surprisingly, I'm so proud of this achievement.",1,0,0,0,0,0
"In the morning, I'm over the moon with joy.",1,0,0,0,0,0
"To be honest, I'm radiating positivity today.",1,0,0,0,0,0
"Finally, a heavy heart today.",0,1,0,0,0,0
"Lately, my heart is racing, i'm terrified.",0,0,0,1,0,0
"Lately, I feel absolutely wonderful.",1,0,0,0,0,0
"Usually, such a heartwarming moment.",1,0,0,0,0,0
"Lately, I have a bad feeling about this.",0,0,0,1,0,0
"Finally, the package arrived this morning.",0,0,0,0,0,1
"Usually, I just want to stay in bed and cry.",0,1,0,0,0,0
"In the morning, I feel really down lately.",0,1,0,0,0,0
"In the morning, the report is due on monday.",0,0,0,0,0,1
"Finally, everything is going perfectly.",1,0,0,0,0,0
"Actually, simply amazing and unexpected.",0,0,0,0,1,0
"Surprisingly, pure bliss and happiness.",1,0,0,0,0,0
"Surprisingly, It's a very lonely day.",0,1,0,0,0,0
"To be honest, the car is parked in the driveway.",0,0,0,0,0,1
"To be honest, that loud noise startled me.",0,0,0,1,0,0
"In the morning, I'm absolutely stunned.",0,0,0,0,1,0
"Lately, wow! that's incredible.",0,0,0,0,1,0
"Today, the temperature remains constant.",0,0,0,0,0,1
"Today, I am absolutely furious with the service.",0,0,1,0,0,0
"Lately, everything feels so grey and hopeless.",0,1,0,0,0,0
"Usually, trying to keep my head up, but it's hard.",0,1,0,0,0,0
"Surprisingly, trembling with anxiety.",0,0,0,1,0,0
"Surprisingly, I'm so proud of this achievement.",1,0,0,0,0,0
"To be honest, pure bliss and happiness.",1,0,0,0,0,0
"Actually, Is this for real? I'm shocked!",0,0,0,0,1,0
"Surprisingly, just leave me alone, i'm angry.",0,0,1,0,0,0
"Usually, deeply saddened by the news.",0,1,0,0,0,0
"Usually, feeling quite blue and isolated.",0,1,0,0,0,0
"In the morning, I'm pleasantly surprised!",0,0,0,0,1,0
"Usually, the car is parked in the driveway.",0,0,0,0,0,1
"Actually, I am going to the store.",0,0,0,0,0,1
"Surprisingly, I can't believe they did that to me.",0,0,1,0,0,0
"Actually, data points were plotted on the graph.",0,0,0,0,0,1
"To be honest, this makes my blood boil.",0,0,1,0,0,0
"To be honest, the report is due on monday.",0,0,0,0,0,1
"Usually, Instructions are followed step by step.",0,0,0,0,0,1
"Usually, my jaw dropped when i saw it.",0,0,0,0,1,0
"Lately, this is the best news ever.",1,0,0,0,0,0
"In the morning, this is so frustrating!",0,0,1,0,0,0
"Actually, this is a total disaster and i'm mad.",0,0,1,0,0,0
"Actually, It is what it is.",0,0,0,0,0,1
"Lately, the meeting started on time.",0,0,0,0,0,1
"Surprisingly, oh my god, i didn't expect that!",0,0,0,0,1,0
"Actually, I'm radiating positivity today.",1,0,0,0,0,0
"Today, oh my god, i didn't expect that!",0,0,0,0,1,0
"Actually, what a turn of events!",0,0,0,0,1,0
"In the morning, I don't want to go in there alone.",0,0,0,1,0,0
"In the morning, I've had enough of this nonsense.",0,0,1,0,0,0
"To be honest, I am absolutely furious with the service.",0,0,1,0,0,0
"Today, I am going to the store.",0,0,0,0,0,1
"Lately, simply amazing and unexpected.",0,0,0,0,1,0
"Actually, this is a major revelation.",0,0,0,0,1,0
"Actually, It's just one of those days where everything hurts.",0,1,0,0,0,0
"Lately, loneliness is a silent companion.",0,1,0,0,0,0
"Today, I feel absolutely wonderful.",1,0,0,0,0,0
"To be honest, a constant state of dread.",0,0,0,1,0,0
"Surprisingly, stop bothering me right now.",0,0,1,0,0,0
"In the morning, I'm worried sick.",0,0,0,1,0,0
"To be honest, my heart is racing, i'm terrified.",0,0,0,1,0,0
"Usually, trembling with anxiety.",0,0,0,1,0,0
"In the morning, I just want to stay in bed and cry.",0,1,0,0,0,0
"Lately, I will be there in ten minutes.",0,0,0,0,0,1
"Surprisingly, this makes my blood boil.",0,0,1,0,0,0
"Lately, I've had enough of this nonsense.",0,0,1,0,0,0
"Today, the car is parked in the driveway.",0,0,0,0,0,1
"Usually, this is the best news ever.",1,0,0,0,0,0
"Usually, It's been a tough day.",0,1,0,0,0,0
"Lately, this is the best news ever.",1,0,0,0,0,0
"Today, I'm losing my patience.",0,0,1,0,0,0
"Surprisingly, panic is setting in.",0,0,0,1,0,0
"To be honest, the darkness is frightening.",0,0,0,1,0,0
"Lately, this is so frustrating!",0,0,1,0,0,0
"To be honest, pure bliss and happiness.",1,0,0,0,0,0
"Surprisingly, utterly outraged by the lack of respect.",0,0,1,0,0,0
"Today, the sun rises in the east.",0,0,0,0,0,1
"Surprisingly, completely blindsided by this.",0,0,0,0,1,0
"Usually, the sun rises in the east.",0,0,0,0,0,1
"Lately, Is this for real? I'm shocked!",0,0,0,0,1,0
"Usually, utterly outraged by the lack of respect.",0,0,1,0,0,0
"To be honest, I'm speechless, what a surprise.",0,0,0,0,1,0
"Lately, I feel so vulnerable and scared.",0,0,0,1,0,0
"Actually, the package arrived this morning.",0,0,0,0,0,1
"Usually, I'm absolutely stunned.",0,0,0,0,1,0
"In the morning, cold shivers down my spine.",0,0,0,1,0,0
"To be honest, this makes my blood boil.",0,0,1,0,0,0
"Today, a constant state of dread.",0,0,0,1,0,0
"Finally, I'm afraid of what might happen next.",0,0,0,1,0,0
"Finally, I will be there in ten minutes.",0,0,0,0,0,1
"Surprisingly, the book is on the table.",0,0,0,0,0,1
"Today, this is completely unacceptable.",0,0,1,0,0,0
"To be honest, life is grand!",1,0,0,0,0,0
"To be honest, It is what it is.",0,0,0,0,0,1
"In the morning, I'm so sorry to hear that.",0,1,0,0,0,0
"Finally, what a beautiful day to be alive.",1,0,0,0,0,0
"Surprisingly, that's a twist i didn't foresee.",0,0,0,0,1,0
"To be honest, the uncertainty is paralyzing.",0,0,0,1,0,0
"Lately, the package arrived this morning.",0,0,0,0,0,1
"To be honest, the uncertainty is paralyzing.",0,0,0,1,0,0
"In the morning, trying to keep my head up, but it's hard.",0,1,0,0,0,0
"Lately, feeling very grateful and happy.",1,0,0,0,0,0
"Finally, I'm so sorry to hear that.",0,1,0,0,0,0
"To be honest, pure bliss and happiness.",1,0,0,0,0,0
"Actually, I'm so proud of this achievement.",1,0,0,0,0,0
"Today, I feel so vulnerable and scared.",0,0,0,1,0,0
"Lately, panic is setting in.",0,0,0,1,0,0
"Actually, my jaw dropped when i saw it.",0,0,0,0,1,0
"Finally, the car is parked in the driveway.",0,0,0,0,0,1
"To be honest, I have a bad feeling about this.",0,0,0,1,0,0
"Finally, It is what it is.",0,0,0,0,0,1
"Usually, I will be there in ten minutes.",0,0,0,0,0,1
"Usually, that loud noise startled me.",0,0,0,1,0,0
"Today, everything feels so grey and hopeless.",0,1,0,0,0,0
